Target t,Model,Param k (AND),Param L (OR),Actual t,Diff,Elliot Config
0.2,ANNOY,3.75,9,0.1776,0.0224,n_trees: 9
0.2,ANNOY,3.75,8,0.2322,0.0322,n_trees: 8
0.2,FAISS (LSH),8.0,98,0.199,0.001,"nbits: 8, n_tables: 98"
0.2,FAISS (LSH),8.0,97,0.2012,0.0012,"nbits: 8, n_tables: 97"
0.2,FAISS (LSH),4.0,10,0.1946,0.0054,"nbits: 4, n_tables: 10"
0.2,FAISS (LSH),4.0,9,0.2406,0.0406,"nbits: 4, n_tables: 9"
0.2,LSH-RP / FairANN,6.0,31,0.2004,0.0004,"n_hash: 6, n_tables: 31"
0.2,LSH-RP / FairANN,8.0,98,0.199,0.001,"n_hash: 8, n_tables: 98"
0.2,LSH-RP / FairANN,8.0,97,0.2012,0.0012,"n_hash: 8, n_tables: 97"
0.2,LSH-RP / FairANN,4.0,10,0.1946,0.0054,"n_hash: 4, n_tables: 10"
0.2,LSH-RP / FairANN,6.0,32,0.1912,0.0088,"n_hash: 6, n_tables: 32"
0.2,LSH-RP / FairANN,2.0,3,0.2406,0.0406,"n_hash: 2, n_tables: 3"
0.2,LSH-RP / FairANN,4.0,9,0.2406,0.0406,"n_hash: 4, n_tables: 9"
0.2,MinHash (Jaccard),2.0,25,0.2,0.0,"n_hash: 2, n_tables: 25"
0.4,ANNOY,3.75,6,0.3692,0.0308,n_trees: 6
0.4,FAISS (LSH),8.0,40,0.3988,0.0012,"nbits: 8, n_tables: 40"
0.4,FAISS (LSH),8.0,39,0.4046,0.0046,"nbits: 8, n_tables: 39"
0.4,FAISS (LSH),4.0,6,0.4228,0.0228,"nbits: 4, n_tables: 6"
0.4,FAISS (LSH),4.0,7,0.3529,0.0471,"nbits: 4, n_tables: 7"
0.4,LSH-RP / FairANN,10.0,100,0.3999,0.0001,"n_hash: 10, n_tables: 100"
0.4,LSH-RP / FairANN,8.0,40,0.3988,0.0012,"n_hash: 8, n_tables: 40"
0.4,LSH-RP / FairANN,10.0,99,0.4017,0.0017,"n_hash: 10, n_tables: 99"
0.4,LSH-RP / FairANN,6.0,16,0.397,0.003,"n_hash: 6, n_tables: 16"
0.4,LSH-RP / FairANN,8.0,39,0.4046,0.0046,"n_hash: 8, n_tables: 39"
0.4,LSH-RP / FairANN,6.0,15,0.4166,0.0166,"n_hash: 6, n_tables: 15"
0.4,LSH-RP / FairANN,4.0,6,0.4228,0.0228,"n_hash: 4, n_tables: 6"
0.4,LSH-RP / FairANN,4.0,7,0.3529,0.0471,"n_hash: 4, n_tables: 7"
0.4,MinHash (Jaccard),4.0,39,0.4002,0.0002,"n_hash: 4, n_tables: 39"
0.4,MinHash (Jaccard),5.0,98,0.3997,0.0003,"n_hash: 5, n_tables: 98"
0.4,MinHash (Jaccard),5.0,97,0.4005,0.0005,"n_hash: 5, n_tables: 97"
0.4,MinHash (Jaccard),4.0,40,0.3976,0.0024,"n_hash: 4, n_tables: 40"
0.4,MinHash (Jaccard),3.0,16,0.3969,0.0031,"n_hash: 3, n_tables: 16"
0.4,MinHash (Jaccard),3.0,15,0.4055,0.0055,"n_hash: 3, n_tables: 15"
0.4,MinHash (Jaccard),2.0,6,0.4082,0.0082,"n_hash: 2, n_tables: 6"
0.4,MinHash (Jaccard),2.0,7,0.378,0.022,"n_hash: 2, n_tables: 7"
0.6,ANNOY,3.75,4,0.5651,0.0349,n_trees: 4
0.6,FAISS (LSH),12.0,67,0.5989,0.0011,"nbits: 12, n_tables: 67"
0.6,FAISS (LSH),12.0,66,0.6012,0.0012,"nbits: 12, n_tables: 66"
0.6,FAISS (LSH),4.0,4,0.6057,0.0057,"nbits: 4, n_tables: 4"
0.6,FAISS (LSH),8.0,16,0.6057,0.0057,"nbits: 8, n_tables: 16"
0.6,FAISS (LSH),8.0,17,0.5923,0.0077,"nbits: 8, n_tables: 17"
0.6,LSH-RP / FairANN,10.0,33,0.6003,0.0003,"n_hash: 10, n_tables: 33"
0.6,LSH-RP / FairANN,12.0,67,0.5989,0.0011,"n_hash: 12, n_tables: 67"
0.6,LSH-RP / FairANN,12.0,66,0.6012,0.0012,"n_hash: 12, n_tables: 66"
0.6,LSH-RP / FairANN,10.0,34,0.595,0.005,"n_hash: 10, n_tables: 34"
0.6,LSH-RP / FairANN,2.0,2,0.6057,0.0057,"n_hash: 2, n_tables: 2"
0.6,LSH-RP / FairANN,4.0,4,0.6057,0.0057,"n_hash: 4, n_tables: 4"
0.6,LSH-RP / FairANN,6.0,8,0.6057,0.0057,"n_hash: 6, n_tables: 8"
0.6,LSH-RP / FairANN,8.0,16,0.6057,0.0057,"n_hash: 8, n_tables: 16"
0.6,LSH-RP / FairANN,8.0,17,0.5923,0.0077,"n_hash: 8, n_tables: 17"
0.6,LSH-RP / FairANN,6.0,9,0.5708,0.0292,"n_hash: 6, n_tables: 9"
0.6,MinHash (Jaccard),8.0,60,0.5994,0.0006,"n_hash: 8, n_tables: 60"
0.6,MinHash (Jaccard),8.0,59,0.6007,0.0007,"n_hash: 8, n_tables: 59"
0.6,MinHash (Jaccard),5.0,13,0.5987,0.0013,"n_hash: 5, n_tables: 13"
0.6,MinHash (Jaccard),6.0,21,0.602,0.002,"n_hash: 6, n_tables: 21"
0.6,MinHash (Jaccard),6.0,22,0.5974,0.0026,"n_hash: 6, n_tables: 22"
0.6,MinHash (Jaccard),4.0,8,0.5946,0.0054,"n_hash: 4, n_tables: 8"
0.6,MinHash (Jaccard),5.0,12,0.6084,0.0084,"n_hash: 5, n_tables: 12"
0.6,MinHash (Jaccard),4.0,7,0.6148,0.0148,"n_hash: 4, n_tables: 7"
0.6,MinHash (Jaccard),3.0,5,0.5848,0.0152,"n_hash: 3, n_tables: 5"
0.6,MinHash (Jaccard),2.0,3,0.5774,0.0226,"n_hash: 2, n_tables: 3"
0.6,MinHash (Jaccard),3.0,4,0.63,0.03,"n_hash: 3, n_tables: 4"
0.8,FAISS (LSH),16.0,39,0.8003,0.0003,"nbits: 16, n_tables: 39"
0.8,FAISS (LSH),16.0,40,0.798,0.002,"nbits: 16, n_tables: 40"
0.8,FAISS (LSH),12.0,16,0.7972,0.0028,"nbits: 12, n_tables: 16"
0.8,FAISS (LSH),12.0,15,0.8053,0.0053,"nbits: 12, n_tables: 15"
0.8,FAISS (LSH),8.0,6,0.8078,0.0078,"nbits: 8, n_tables: 6"
0.8,FAISS (LSH),8.0,7,0.7786,0.0214,"nbits: 8, n_tables: 7"
0.8,LSH-RP / FairANN,16.0,39,0.8003,0.0003,"n_hash: 16, n_tables: 39"
0.8,LSH-RP / FairANN,10.0,10,0.7984,0.0016,"n_hash: 10, n_tables: 10"
0.8,LSH-RP / FairANN,16.0,40,0.798,0.002,"n_hash: 16, n_tables: 40"
0.8,LSH-RP / FairANN,6.0,4,0.7972,0.0028,"n_hash: 6, n_tables: 4"
0.8,LSH-RP / FairANN,12.0,16,0.7972,0.0028,"n_hash: 12, n_tables: 16"
0.8,LSH-RP / FairANN,12.0,15,0.8053,0.0053,"n_hash: 12, n_tables: 15"
0.8,LSH-RP / FairANN,8.0,6,0.8078,0.0078,"n_hash: 8, n_tables: 6"
0.8,LSH-RP / FairANN,10.0,9,0.814,0.014,"n_hash: 10, n_tables: 9"
0.8,LSH-RP / FairANN,8.0,7,0.7786,0.0214,"n_hash: 8, n_tables: 7"
0.8,MinHash (Jaccard),8.0,6,0.7993,0.0007,"n_hash: 8, n_tables: 6"
0.8,MinHash (Jaccard),5.0,3,0.8027,0.0027,"n_hash: 5, n_tables: 3"
0.8,MinHash (Jaccard),10.0,9,0.8027,0.0027,"n_hash: 10, n_tables: 9"
0.8,MinHash (Jaccard),10.0,10,0.7943,0.0057,"n_hash: 10, n_tables: 10"
0.8,MinHash (Jaccard),3.0,2,0.7937,0.0063,"n_hash: 3, n_tables: 2"
0.8,MinHash (Jaccard),6.0,4,0.7937,0.0063,"n_hash: 6, n_tables: 4"
0.8,MinHash (Jaccard),8.0,5,0.8178,0.0178,"n_hash: 8, n_tables: 5"
0.8,MinHash (Jaccard),6.0,3,0.8327,0.0327,"n_hash: 6, n_tables: 3"
0.8,MinHash (Jaccard),4.0,3,0.7598,0.0402,"n_hash: 4, n_tables: 3"
0.8,MinHash (Jaccard),4.0,2,0.8409,0.0409,"n_hash: 4, n_tables: 2"
0.8,MinHash (Jaccard),5.0,4,0.7579,0.0421,"n_hash: 5, n_tables: 4"
