Algorithm,nn,sim,bin,strat,val,h,nt,thres,w,nDCGRendle2020,Recall,HR,Precision,MAP,MRR,ItemCoverage,ACLT,APLT,Gini,SEntropy,EFD,EPC,PopREO,PopRSP,Filename_Model,CR
ItemFairANN,50,jaccard,False,uniform,False,1,4,0$5,1,0.02561992857636,0.029549146286629,0.2802547770700637,0.0172505307855626,0.0188490448580098,0.0623592729592907,1238.0,10.680467091295116,0.5340233545647558,0.3889845642672163,9.426181723653835,0.1685968095433061,0.016105165397255,0.4065225541719153,0.4367739399923004,ItemFairANN,0.03623127790154
ItemFairANN,50,jaccard,False,rank,False,1,4,0$5,1,0.0221059696678064,0.0255458407686924,0.2600849256900212,0.0166135881104033,0.0164947726486026,0.0524935655616129,1230.0,11.154989384288749,0.5577494692144374,0.4061974632627037,9.487444208203511,0.1568651515682688,0.0148698330865269,0.2260968306977259,0.3972442783856528,ItemFairANN,0.0364046306650582
ItemFairANN,100,jaccard,False,rank,False,1,4,0$5,1,0.0195440587328473,0.0251216900634099,0.2133757961783439,0.0127919320594479,0.0125096889218332,0.0415343124384308,1261.0,12.170912951167727,0.6085456475583864,0.4310991477483182,9.557027351063,0.1194538715717912,0.0112789157457425,0.2128790924971511,0.305693245019675,ItemFairANN,0.0713613530100643
ItemFairANN,100,jaccard,False,approx_degree,False,1,4,0$5,1,0.0260222297811305,0.0333593479895109,0.2717622080679405,0.0176751592356687,0.0177760339667581,0.0530440128660928,1266.0,11.408704883227175,0.5704352441613588,0.4287085242506344,9.545380688404476,0.161079081458448,0.0153944527271298,0.3717472072282469,0.375298175660582,ItemFairANN,0.0713261321311273
ItemFairANN,50,jaccard,False,approx_degree,False,1,4,0$5,1,0.0246761957382267,0.0323391377535584,0.2579617834394904,0.0158174097664543,0.0158376525186364,0.0533752106867407,1244.0,11.84819532908705,0.5924097664543525,0.3997009159301867,9.470044574901912,0.148928154093745,0.0142072159205499,0.2751341603126661,0.3358620965521044,ItemFairANN,0.0363479470630189
ItemFairANN,250,jaccard,False,opt,False,1,4,0$5,1,0.0213379580711447,0.0255057080904977,0.2335456475583864,0.0148619957537154,0.0157400547803948,0.0505340012455086,1286.0,11.652866242038217,0.5826433121019108,0.4441107627707716,9.599745017692042,0.1431126601075152,0.0135408108861411,0.3611963418630284,0.3536175424316573,ItemFairANN,0.1684603633033662
ItemFairANN,50,jaccard,False,no_sampling,False,1,4,0$5,1,0.167671578437275,0.2069107565091579,0.7335456475583864,0.0899150743099787,0.1135275362049878,0.2846224554020939,443.0,0.3205944798301486,0.0160297239915074,0.0986794591109916,7.49411073292315,0.8257692891033729,0.0827311917697978,0.9637094317568984,0.9889169596334402,ItemFairANN,0.9398064172441424
ItemFairANN,100,jaccard,False,opt,False,1,4,0$5,1,0.0235735364420839,0.0284255105986787,0.2441613588110403,0.0152866242038216,0.0165149973094933,0.0536818204620801,1273.0,11.295116772823778,0.564755838641189,0.4302748736281143,9.548403677153171,0.1490838109427875,0.0142603995081288,0.2285375887419492,0.3851954913455646,ItemFairANN,0.0713360380033283
ItemFairANN,250,jaccard,False,rank,False,1,4,0$5,1,0.0219930047684401,0.0261827183468361,0.2282377919320594,0.0144904458598726,0.0157599664743701,0.0535456613647242,1286.0,12.003184713375797,0.6001592356687898,0.4616503293471223,9.65394681189006,0.144407362895475,0.0137068795897967,0.2108005935556811,0.3215052243591324,ItemFairANN,0.1682297766115753
ItemFairANN,100,jaccard,False,uniform,False,1,4,0$5,1,0.0291193743548594,0.0343953340809645,0.2802547770700637,0.0200636942675159,0.0216274160242184,0.065943413302714,1260.0,10.548832271762208,0.5274416135881104,0.4065707075722253,9.477218745285567,0.1889941085358285,0.0181996969664235,0.3817925381872372,0.447404785598161,ItemFairANN,0.0709216423495848
ItemFairANN,100,jaccard,False,no_sampling,False,1,4,0$5,1,0.16188430850483,0.2023369622385298,0.7229299363057324,0.0894904458598726,0.11032955978594,0.2704061486449676,393.0,0.1932059447983015,0.009660297239915,0.1080208909631688,7.597855159938915,0.8142068916891699,0.0817626238520263,0.9615292336411008,0.993348986371609,ItemFairANN,0.9398064172441424
ItemFairANN,50,jaccard,False,opt,False,1,4,0$5,1,0.0263837095727832,0.0319283439251795,0.2728237791932059,0.0182590233545647,0.0185831827772617,0.0610892609397618,1241.0,11.12951167728238,0.556475583864119,0.4075332144878059,9.492153478149245,0.1764256063702151,0.0167467756723398,0.2353867041253533,0.3994161385951734,ItemFairANN,0.0363864698993563
ItemFairANN,250,jaccard,False,uniform,False,1,4,0$5,1,0.0271934200363553,0.0293344735293239,0.2770700636942675,0.0187367303609341,0.021270172356549,0.0689052816642245,1258.0,11.169851380042465,0.5584925690021231,0.43131689986555,9.56521047258864,0.1800922669657162,0.0173496867187068,0.5258194219053854,0.395974701964757,ItemFairANN,0.1657830261779182
ItemFairANN,250,jaccard,False,no_sampling,False,1,4,0$5,1,0.147911643433052,0.1898970846881852,0.7112526539278131,0.0856157112526539,0.0974015452220254,0.2453135205123186,421.0,0.1857749469214437,0.0092887473460721,0.1355341034649617,7.921628604400619,0.7661914609007445,0.076779709621145,0.9745333141339572,0.9936063675651088,ItemFairANN,0.9398064172441424
ItemFairANN,250,jaccard,False,approx_degree,False,1,4,0$5,1,0.0241113745781452,0.0256302555880434,0.2526539278131635,0.0167197452229299,0.0192283502626487,0.0634499133161898,1276.0,11.789808917197451,0.5894904458598725,0.4265544096576963,9.55421234011732,0.1669630065364335,0.0159873611734243,0.3006144573597902,0.3412084895214788,ItemFairANN,0.1680877924433604
UserFairANN,50,jaccard,False,approx_degree,False,1,4,0$5,1,0.0980573408133686,0.1131186063315097,0.5605095541401274,0.0567409766454352,0.0686387666316145,0.1943470389978544,194.0,0.0,0.0,0.0390559661558198,6.181555532362754,0.4731717768553858,0.0454957166641611,1.0,1.0,UserFairANN,0.0515921313012472
UserFairANN,100,jaccard,False,approx_degree,False,1,4,0$5,1,0.101787337947495,0.1190660728269196,0.5658174097664543,0.0598195329087048,0.0715909363900739,0.1892429723653472,142.0,0.0,0.0,0.0307252729585441,5.820457872218113,0.4902085363872031,0.0470586144646995,1.0,1.0,UserFairANN,0.1004221491969473
UserFairANN,100,jaccard,False,opt,False,1,4,0$5,1,0.0986142842711889,0.1142164693397218,0.5467091295116773,0.0572717622080679,0.06899935039037,0.1865027403388163,143.0,0.0,0.0,0.0305356560225834,5.81048894638878,0.4701609781375157,0.0449992737364527,1.0,1.0,UserFairANN,0.1004694803936152
UserFairANN,50,jaccard,False,opt,False,1,4,0$5,1,0.0976781412073203,0.1166910039724507,0.5626326963906582,0.056900212314225,0.0679794819523317,0.1847735437810815,201.0,0.0010615711252653,5.307855626326964e-05,0.0391339092770438,6.184663165193526,0.4673331544120244,0.04492138742495,1.0,0.9999636869721232,UserFairANN,0.0515898774347392
UserFairANN,250,jaccard,False,uniform,False,1,4,0$5,1,0.1010177814015887,0.1141771002480958,0.5509554140127388,0.0594479830148619,0.0708954948593044,0.1955685359765589,114.0,0.0,0.0,0.0261853422798481,5.558427991759127,0.4886726427124186,0.0467373830783072,1.0,1.0,UserFairANN,0.226373844329948
UserFairANN,100,jaccard,False,rank,False,1,4,0$5,1,0.0972393912669472,0.1130980520725161,0.5403397027600849,0.0572186836518046,0.0684539080701094,0.1830131228422526,137.0,0.0,0.0,0.030397896087397,5.806840049333619,0.4678500144738468,0.0448452085394934,1.0,1.0,UserFairANN,0.1005810467857609
UserFairANN,250,jaccard,False,opt,False,1,4,0$5,1,0.0995294480857883,0.1155588449084565,0.5498938428874734,0.0588110403397027,0.0699603937422039,0.1896578188590769,110.0,0.0,0.0,0.0254899225612628,5.511769860910932,0.4802546701068858,0.0458984352522728,1.0,1.0,UserFairANN,0.2317729815498487
UserFairANN,100,jaccard,False,no_sampling,False,1,4,0$5,1,0.1644500558698121,0.2071720915969529,0.7388535031847133,0.0912420382165605,0.1096164464274686,0.2718799547565742,268.0,0.0573248407643312,0.0028662420382165,0.0765622906608535,7.11610145461755,0.791640718810285,0.0780827240462651,0.9880179194796812,0.9980354601973168,UserFairANN,0.9515869474082788
UserFairANN,50,jaccard,False,rank,False,1,4,0$5,1,0.1008325650582254,0.1188891568279867,0.559447983014862,0.058864118895966,0.0695458968897855,0.1919973618528912,199.0,0.0,0.0,0.0387562516057543,6.169400851647741,0.483753143597517,0.0465496191306705,1.0,1.0,UserFairANN,0.0516496048972011
UserFairANN,50,jaccard,False,uniform,False,1,4,0$5,1,0.0975395815228121,0.1141141774785951,0.5583864118895966,0.056900212314225,0.0689071391096223,0.1881163640494702,201.0,0.0,0.0,0.0401260487644951,6.219781559140492,0.4734512548833106,0.0455769712749103,1.0,1.0,UserFairANN,0.0513746331832258
UserFairANN,100,jaccard,False,uniform,False,1,4,0$5,1,0.1020427981714532,0.1174727622172314,0.5605095541401274,0.0600318471337579,0.0709789848206069,0.1954952636537992,146.0,0.0,0.0,0.0314149395448248,5.857361855462462,0.4936103612060764,0.0473631152726044,1.0,1.0,UserFairANN,0.099326770074062
UserFairANN,50,jaccard,False,no_sampling,False,1,4,0$5,1,0.1685446289982273,0.2078486488694876,0.7303609341825902,0.0909235668789809,0.1132418557021638,0.2872327928818384,375.0,0.2558386411889596,0.0127919320594479,0.0960485438270467,7.449411122777799,0.8171847357163954,0.0808369150979447,0.9700532572738576,0.9911745880167846,UserFairANN,0.9515869474082788
UserFairANN,250,jaccard,False,rank,False,1,4,0$5,1,0.0983981912105505,0.1129600159802848,0.5414012738853503,0.0575902335456475,0.069997509791933,0.1912506208875586,107.0,0.0,0.0,0.0254851939593687,5.513888547129633,0.4749289183347098,0.0453510312770238,1.0,1.0,UserFairANN,0.2315261831672233
UserFairANN,250,jaccard,False,approx_degree,False,1,4,0$5,1,0.1003229206351803,0.1170030225452453,0.5573248407643312,0.0589171974522293,0.0703666535766203,0.1916987624348946,106.0,0.0,0.0,0.0254814110778528,5.510462152929864,0.481042123951067,0.0459720141999981,1.0,1.0,UserFairANN,0.2313853165104737
UserFairANN,250,jaccard,False,no_sampling,False,1,4,0$5,1,0.1499410802902855,0.1956019003591703,0.7123142250530785,0.0856687898089171,0.098542238467532,0.2435097780021711,176.0,0.0,0.0,0.055086714677738,6.640207425353647,0.7103016754833424,0.069686152101616,1.0,1.0,UserFairANN,0.9515869474082788
